blackword,colorword,letterColor,corrAns,congruent,Condition_File,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_Loop.thisRepN,trials_Loop.thisTrialN,trials_Loop.thisN,trials_Loop.thisIndex,instrText.started,instrText.stopped,MoveOn.keys,MoveOn.rt,MoveOn.started,MoveOn.stopped,text_2.started,text_2.stopped,Moveon2.keys,Moveon2.rt,Moveon2.started,Moveon2.stopped,PI_2.started,PI_2.stopped,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,PI_3.started,PI_3.stopped,MoveOn3.keys,MoveOn3.rt,MoveOn3.started,MoveOn3.stopped,ColorWordP.started,ColorWordP.stopped,WhiteWordP.started,WhiteWordP.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,text_9.started,text_9.stopped,Moveon4.keys,Moveon4.rt,Moveon4.started,Moveon4.stopped,Colorword.started,Colorword.stopped,Whiteword.started,Whiteword.stopped,resp.keys,resp.corr,resp.started,resp.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,9.741820900002494,None,space,0.7290844000017387,10.975839200000337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
,,,,,,,,,,,,,,,,,,,,,,,,10.975839200000337,None,space,8.049661999997625,11.758592400001362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.758592400001362,None,11.758592400001362,None,11.758592400001362,None,11.758592400001362,None,19.854835199999798,None,space,0.5697929000016302,19.854835199999798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
blue,red,blue,q - yes,2,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.566508200001408,None,20.566508200001408,None,None,20.566508200001408,None,22.76514180000231,None,22.76514180000231,None,22.76514180000231,None,22.76514180000231,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
green,red,blue,p - no,2,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.263022099999944,None,25.263022099999944,None,None,25.263022099999944,None,27.478256200000033,None,27.478256200000033,None,27.478256200000033,None,27.478256200000033,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
blue,red,red,p - no,1,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.976382900000317,None,29.976382900000317,None,None,29.976382900000317,None,32.22451010000077,None,32.22451010000077,None,32.22451010000077,None,32.22451010000077,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
green,green,green,q - yes,1,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.738289500000974,None,34.738289500000974,None,None,34.738289500000974,None,36.98724790000051,None,36.98724790000051,None,36.98724790000051,None,36.98724790000051,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
red,red,red,q - yes,1,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.50127010000142,None,39.50127010000142,None,None,39.50127010000142,None,41.733199800000875,None,41.733199800000875,None,41.733199800000875,None,41.733199800000875,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
blue,green,red,p - no,2,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.247476799999276,None,44.247476799999276,None,None,44.247476799999276,None,46.46365910000168,None,46.46365910000168,None,46.46365910000168,None,46.46365910000168,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
green,blue,blue,p - no,1,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.99383640000087,None,48.99383640000087,None,None,48.99383640000087,None,51.22623740000199,None,51.22623740000199,None,51.22623740000199,None,51.22623740000199,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
green,blue,green,q - yes,2,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.73970960000224,None,53.73970960000224,None,None,53.73970960000224,None,55.98818640000172,None,55.98818640000172,None,55.98818640000172,None,55.98818640000172,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
red,green,red,q - yes,2,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4854751999992,None,58.4854751999992,None,None,58.4854751999992,None,60.71832809999978,None,60.71832809999978,None,60.71832809999978,None,60.71832809999978,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
red,blue,green,p - no,2,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.23284600000261,None,63.23284600000261,None,None,63.23284600000261,None,65.48227690000203,None,65.48227690000203,None,65.48227690000203,None,65.48227690000203,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
blue,blue,blue,q - yes,1,,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.97771099999954,None,67.97771099999954,None,None,67.97771099999954,None,70.22599149999951,None,70.22599149999951,None,70.22599149999951,None,70.22599149999951,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
red,green,green,p - no,1,,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.75724550000086,None,72.75724550000086,None,None,72.75724550000086,None,74.97276609999972,None,74.97276609999972,None,74.97276609999972,None,74.97276609999972,None,,,,,,,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.63607500000217,None,space,1.534165100001701,77.63607500000217,None,,,,,,,,,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
green,red,blue,p - no,2,TrialTypes_Incongruent.xlsx,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.317922000002,None,79.317922000002,None,None,0,79.317922000002,None,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
red,blue,green,p - no,2,TrialTypes_Incongruent.xlsx,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.05076650000046,None,81.05076650000046,None,None,0,81.05076650000046,None,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
blue,red,blue,q - yes,2,TrialTypes_Incongruent.xlsx,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.79898370000228,None,82.79898370000228,None,None,0,82.79898370000228,None,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
blue,green,red,p - no,2,TrialTypes_Incongruent.xlsx,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.54773170000044,None,84.54773170000044,None,None,0,84.54773170000044,None,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
red,green,red,q - yes,2,TrialTypes_Incongruent.xlsx,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.29642629999944,None,86.29642629999944,None,None,0,86.29642629999944,None,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
green,blue,green,q - yes,2,TrialTypes_Incongruent.xlsx,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.06284100000266,None,88.06284100000266,None,None,0,88.06284100000266,None,XXX,2021_Mar_17_1517,stroop_complex,2021.1.2,59.89587700728664,
